,id,text,created_at,final fantasy,retweet_count,reply_count,like_count,quote_count,polarity
17767,1601071518204973058,Hellboy  Jedi Survivor  Hades II  Armored Core  Tekken  Final FantasySolid ass line up of trailers I will not lie,2022-12-09T04:29:31.000Z,1.0,0,0,1,0,0.0
18323,1601070371150913536,Pra mim  esse foi o melhor TGA que j existiu disparado   Hades   Remnant II  Jedi Survivor  Final Fantasy XVI  Armored Core  FFXIV Best Gaming Community  FFXIV Best Ongoing Game  Elden Ring best game direction  Elden Ring Best RPG  Elden Ring GOTY,2022-12-09T04:24:57.000Z,1.0,0,0,1,0,0.4571428571428572
18630,1601069760073998336,Congratulations for the following winners at The Game Awards God of War Ragnarok   Best Action Adventure GameFinal Fantasy XIV   Best Ongoing Game Best Community Support  presented by discord Splatoon   Best Multiplayer Game Marvel Snap   Best Mobile Game,2022-12-09T04:22:31.000Z,1.0,0,0,0,0,0.3181818181818182
18792,1601069454812925952,If you re a gamer  get ready to EAT in  and beyond  because we know there will be delays  My highlights from tonight s show Armored Core VIJudas  D2 LightfallDiablo IVEarthbladeFinal Fantasy XVIHades ReplacedRemnant IIWhat about yours ,2022-12-09T04:21:19.000Z,1.0,3,1,24,0,0.2
18822,1601069403302350848,Can t wait for Final Fantasy XVI ,2022-12-09T04:21:06.000Z,1.0,0,0,0,0,0.0
18962,1601069151690301440,Alguns do anncios do The Game Awards eath Stranding Armored Core VI  Fires of Rubicon  2023 Cyberpunk Phantom Liberty  2023 Crime Boss Rockay City  28 3 23 Crash Team Rumble  2023 Final Fantasy XVI  22 6 23 Diablo IV  6 6 23 ,2022-12-09T04:20:06.000Z,1.0,0,0,0,0,-0.2
18988,1601069112465457152,the bill clinton kid while the final fantasy xvi trailer was playing,2022-12-09T04:19:57.000Z,1.0,42,1,223,0,0.0
19167,1601068805064511488,I just came out of my Twitter hibernation to say Final Fantasy XVI is fucking raw  I cannot wait for this game  my most anticipated game in years  So much faith in Yoshi P ,2022-12-09T04:18:44.000Z,1.0,0,0,0,0,-0.05512820512820513
19347,1601068509563609088,Most awarded games at The Game Awards 6  God of War  Ragnarok 4  Elden Ring 2  Final Fantasy XIV 2  Stray,2022-12-09T04:17:33.000Z,1.0,0,0,0,0,0.033333333333333326
19506,1601068289341652995,What a fun night is  so many great announcements I can t even figure out what I m most excited for Final Fantasy   Armored Core  Blue Protocol World  Wayfinder  Tekken   Death Stranding   SF6  so manyCheck out my full coverage here,2022-12-09T04:16:41.000Z,1.0,0,0,0,0,0.353125
19531,1601068261403131904,The Game Awards was good  Elden Ring won Game of the Year and God of War Ragnark won a lot of awards  So many great game reveals like Tekken   Street Fighter   Suicide Squad where Batman is in the game voiced by Kevin Conroy  R I P  and Final Fantasy XVI ,2022-12-09T04:16:34.000Z,1.0,0,0,0,0,0.04999999999999999
